College Name|Branch|Category|Gender|Cutoff Rank
OU College of Engineering, Hyderabad|ECE|ST|M|12735
OU College of Engineering, Hyderabad|ECE|ST|F|6092
OU College of Engineering, Hyderabad|ECE|EWS|M|7022
OU College of Engineering, Hyderabad|ECE|EWS|F|6744
OU College of Engineering, Hyderabad|EEE|OC|M|9178
OU College of Engineering, Hyderabad|EEE|OC|F|8730
OU College of Engineering, Hyderabad|EEE|BC-A|M|14279
OU College of Engineering, Hyderabad|EEE|BC-A|F|14265
OU College of Engineering, Hyderabad|EEE|BC-B|M|12918
OU College of Engineering, Hyderabad|EEE|BC-B|F|6389
OU College of Engineering, Hyderabad|EEE|BC-C|M|5072
OU College of Engineering, Hyderabad|EEE|BC-C|F|8140
OU College of Engineering, Hyderabad|EEE|BC-D|M|11885
OU College of Engineering, Hyderabad|EEE|BC-D|F|5579
OU College of Engineering, Hyderabad|EEE|SC|M|11259
OU College of Engineering, Hyderabad|EEE|SC|F|12011
OU College of Engineering, Hyderabad|EEE|ST|M|5591
OU College of Engineering, Hyderabad|EEE|ST|F|5380
OU College of Engineering, Hyderabad|EEE|EWS|M|9702
OU College of Engineering, Hyderabad|EEE|EWS|F|10609
OU College of Engineering, Hyderabad|IT|OC|M|7237
OU College of Engineering, Hyderabad|IT|OC|F|8381
OU College of Engineering, Hyderabad|IT|BC-A|M|3308
OU College of Engineering, Hyderabad|IT|BC-A|F|8990
OU College of Engineering, Hyderabad|IT|BC-B|M|3920
OU College of Engineering, Hyderabad|IT|BC-B|F|6392
OU College of Engineering, Hyderabad|IT|BC-C|M|7293
OU College of Engineering, Hyderabad|IT|BC-C|F|4129
OU College of Engineering, Hyderabad|IT|BC-D|M|8506
OU College of Engineering, Hyderabad|IT|BC-D|F|6290
OU College of Engineering, Hyderabad|IT|SC|M|11318
OU College of Engineering, Hyderabad|IT|SC|F|10384
OU College of Engineering, Hyderabad|IT|ST|M|10061
OU College of Engineering, Hyderabad|IT|ST|F|7201
OU College of Engineering, Hyderabad|IT|EWS|M|8449
OU College of Engineering, Hyderabad|IT|EWS|F|2684
OU College of Engineering, Hyderabad|MECH|OC|M|7062
OU College of Engineering, Hyderabad|MECH|OC|F|9499
OU College of Engineering, Hyderabad|MECH|BC-A|M|7855
OU College of Engineering, Hyderabad|MECH|BC-A|F|15133
OU College of Engineering, Hyderabad|MECH|BC-B|M|16010
OU College of Engineering, Hyderabad|MECH|BC-B|F|13904
OU College of Engineering, Hyderabad|MECH|BC-C|M|9413
OU College of Engineering, Hyderabad|MECH|BC-C|F|10265
OU College of Engineering, Hyderabad|MECH|BC-D|M|8867
OU College of Engineering, Hyderabad|MECH|BC-D|F|11068
OU College of Engineering, Hyderabad|MECH|SC|M|8695
OU College of Engineering, Hyderabad|MECH|SC|F|8170
OU College of Engineering, Hyderabad|MECH|ST|M|9613
OU College of Engineering, Hyderabad|MECH|ST|F|7963
OU College of Engineering, Hyderabad|MECH|EWS|M|15438
OU College of Engineering, Hyderabad|MECH|EWS|F|13975
OU College of Engineering, Hyderabad|CIVIL|OC|M|17280
OU College of Engineering, Hyderabad|CIVIL|OC|F|17544
OU College of Engineering, Hyderabad|CIVIL|BC-A|M|10207
OU College of Engineering, Hyderabad|CIVIL|BC-A|F|12163
OU College of Engineering, Hyderabad|CIVIL|BC-B|M|8006
OU College of Engineering, Hyderabad|CIVIL|BC-B|F|14841
OU College of Engineering, Hyderabad|CIVIL|BC-C|M|17239
OU College of Engineering, Hyderabad|CIVIL|BC-C|F|12225
OU College of Engineering, Hyderabad|CIVIL|BC-D|M|17027
OU College of Engineering, Hyderabad|CIVIL|BC-D|F|16168
OU College of Engineering, Hyderabad|CIVIL|SC|M|16062
OU College of Engineering, Hyderabad|CIVIL|SC|F|12571
OU College of Engineering, Hyderabad|CIVIL|ST|M|14996
OU College of Engineering, Hyderabad|CIVIL|ST|F|15914
OU College of Engineering, Hyderabad|CIVIL|EWS|M|12457
OU College of Engineering, Hyderabad|CIVIL|EWS|F|11066
OU College of Engineering, Hyderabad|DS|OC|M|5791
OU College of Engineering, Hyderabad|DS|OC|F|5049
OU College of Engineering, Hyderabad|DS|BC-A|M|12698
OU College of Engineering, Hyderabad|DS|BC-A|F|8324
OU College of Engineering, Hyderabad|DS|BC-B|M|13248
OU College of Engineering, Hyderabad|DS|BC-B|F|10650
OU College of Engineering, Hyderabad|DS|BC-C|M|12843
OU College of Engineering, Hyderabad|DS|BC-C|F|10882
OU College of Engineering, Hyderabad|DS|BC-D|M|6121
OU College of Engineering, Hyderabad|DS|BC-D|F|4420
OU College of Engineering, Hyderabad|DS|SC|M|11224
OU College of Engineering, Hyderabad|DS|SC|F|10515
OU College of Engineering, Hyderabad|DS|ST|M|8993
OU College of Engineering, Hyderabad|DS|ST|F|13360
OU College of Engineering, Hyderabad|DS|EWS|M|5705
OU College of Engineering, Hyderabad|DS|EWS|F|7274
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|OC|M|3748
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|OC|F|5557
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|BC-A|M|1919
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|BC-A|F|6196
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|BC-B|M|1616
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|BC-B|F|6720
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|BC-C|M|10335
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|BC-C|F|11124
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|BC-D|M|6949
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|BC-D|F|3936
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|SC|M|3367
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|SC|F|6514
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|ST|M|10800
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|ST|F|10942
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|EWS|M|11145
Chaitanya Bharathi Institute of Technology, Hyderabad|CSE|EWS|F|5558
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|OC|M|6576
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|OC|F|12556
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|BC-A|M|10845
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|BC-A|F|7381
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|BC-B|M|3089
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|BC-B|F|4711
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|BC-C|M|7482
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|BC-C|F|3702
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|BC-D|M|5602
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|BC-D|F|7743
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|SC|M|6373
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|SC|F|9535
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|ST|M|6661
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|ST|F|11106
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|EWS|M|11891
Chaitanya Bharathi Institute of Technology, Hyderabad|ECE|EWS|F|7659
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|OC|M|11603
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|OC|F|10258
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|BC-A|M|5688
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|BC-A|F|6981
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|BC-B|M|13465
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|BC-B|F|6886
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|BC-C|M|9023
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|BC-C|F|7607
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|BC-D|M|10049
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|BC-D|F|13331
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|SC|M|7683
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|SC|F|9230
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|ST|M|11884
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|ST|F|11363
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|EWS|M|7841
Chaitanya Bharathi Institute of Technology, Hyderabad|EEE|EWS|F|9829
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|OC|M|10693
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|OC|F|4649
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|BC-A|M|4272
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|BC-A|F|8171
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|BC-B|M|4090
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|BC-B|F|10010
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|BC-C|M|7299
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|BC-C|F|7054
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|BC-D|M|4410
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|BC-D|F|10089
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|SC|M|4585
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|SC|F|9756
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|ST|M|7886
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|ST|F|3248
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|EWS|M|9711
Chaitanya Bharathi Institute of Technology, Hyderabad|IT|EWS|F|9347
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|OC|M|8036
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|OC|F|14648
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|BC-A|M|10043
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|BC-A|F|11564
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|BC-B|M|13260
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|BC-B|F|12984
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|BC-C|M|7089
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|BC-C|F|12955
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|BC-D|M|16938
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|BC-D|F|9793
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|SC|M|10710
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|SC|F|8047
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|ST|M|10198
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|ST|F|15939
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|EWS|M|15761
Chaitanya Bharathi Institute of Technology, Hyderabad|MECH|EWS|F|11909
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|OC|M|12282
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|OC|F|8881
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|BC-A|M|8599
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|BC-A|F|11610
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|BC-B|M|14654
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|BC-B|F|13701
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|BC-C|M|10772
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|BC-C|F|8131
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|BC-D|M|16558
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|BC-D|F|17277
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|SC|M|9130
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|SC|F|12998
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|ST|M|8270
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|ST|F|17554
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|EWS|M|13292
Chaitanya Bharathi Institute of Technology, Hyderabad|CIVIL|EWS|F|9085
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|OC|M|7653
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|OC|F|4540
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|BC-A|M|3530
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|BC-A|F|10749
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|BC-B|M|7248
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|BC-B|F|10499
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|BC-C|M|12551
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|BC-C|F|9361
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|BC-D|M|6760
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|BC-D|F|10047
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|SC|M|10777
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|SC|F|5964
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|ST|M|7469
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|ST|F|8534
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|EWS|M|3955
Chaitanya Bharathi Institute of Technology, Hyderabad|DS|EWS|F|13239
Vasavi College of Engineering, Hyderabad|CSE|OC|M|9873
Vasavi College of Engineering, Hyderabad|CSE|OC|F|3024
Vasavi College of Engineering, Hyderabad|CSE|BC-A|M|8844
Vasavi College of Engineering, Hyderabad|CSE|BC-A|F|6575
Vasavi College of Engineering, Hyderabad|CSE|BC-B|M|6049
Vasavi College of Engineering, Hyderabad|CSE|BC-B|F|8085
Vasavi College of Engineering, Hyderabad|CSE|BC-C|M|7013
Vasavi College of Engineering, Hyderabad|CSE|BC-C|F|2247
Vasavi College of Engineering, Hyderabad|CSE|BC-D|M|2634
Vasavi College of Engineering, Hyderabad|CSE|BC-D|F|4123
Vasavi College of Engineering, Hyderabad|CSE|SC|M|9155
Vasavi College of Engineering, Hyderabad|CSE|SC|F|2313
Vasavi College of Engineering, Hyderabad|CSE|ST|M|7356
Vasavi College of Engineering, Hyderabad|CSE|ST|F|2837
Vasavi College of Engineering, Hyderabad|CSE|EWS|M|5886
Vasavi College of Engineering, Hyderabad|CSE|EWS|F|2411
Vasavi College of Engineering, Hyderabad|ECE|OC|M|4599
Vasavi College of Engineering, Hyderabad|ECE|OC|F|10181
Vasavi College of Engineering, Hyderabad|ECE|BC-A|M|10781
Vasavi College of Engineering, Hyderabad|ECE|BC-A|F|6981
Vasavi College of Engineering, Hyderabad|ECE|BC-B|M|9627
Vasavi College of Engineering, Hyderabad|ECE|BC-B|F|7079
Vasavi College of Engineering, Hyderabad|ECE|BC-C|M|6240
Vasavi College of Engineering, Hyderabad|ECE|BC-C|F|5157
Vasavi College of Engineering, Hyderabad|ECE|BC-D|M|6919
Vasavi College of Engineering, Hyderabad|ECE|BC-D|F|4773
Vasavi College of Engineering, Hyderabad|ECE|SC|M|6038
Vasavi College of Engineering, Hyderabad|ECE|SC|F|4724
Vasavi College of Engineering, Hyderabad|ECE|ST|M|7588
Vasavi College of Engineering, Hyderabad|ECE|ST|F|11929
Vasavi College of Engineering, Hyderabad|ECE|EWS|M|6230
Vasavi College of Engineering, Hyderabad|ECE|EWS|F|7246
Vasavi College of Engineering, Hyderabad|EEE|OC|M|11661
Vasavi College of Engineering, Hyderabad|EEE|OC|F|6355
Vasavi College of Engineering, Hyderabad|EEE|BC-A|M|7338
Vasavi College of Engineering, Hyderabad|EEE|BC-A|F|14202
Vasavi College of Engineering, Hyderabad|EEE|BC-B|M|12220
Vasavi College of Engineering, Hyderabad|EEE|BC-B|F|7766
Vasavi College of Engineering, Hyderabad|EEE|BC-C|M|11105
Vasavi College of Engineering, Hyderabad|EEE|BC-C|F|10801
Vasavi College of Engineering, Hyderabad|EEE|BC-D|M|8019
Vasavi College of Engineering, Hyderabad|EEE|BC-D|F|9548
Vasavi College of Engineering, Hyderabad|EEE|SC|M|4945
Vasavi College of Engineering, Hyderabad|EEE|SC|F|13691
Vasavi College of Engineering, Hyderabad|EEE|ST|M|6372
Vasavi College of Engineering, Hyderabad|EEE|ST|F|11099
Vasavi College of Engineering, Hyderabad|EEE|EWS|M|6801
Vasavi College of Engineering, Hyderabad|EEE|EWS|F|7560
Vasavi College of Engineering, Hyderabad|IT|OC|M|10457
Vasavi College of Engineering, Hyderabad|IT|OC|F|4277
Vasavi College of Engineering, Hyderabad|IT|BC-A|M|10969
Vasavi College of Engineering, Hyderabad|IT|BC-A|F|8044
Vasavi College of Engineering, Hyderabad|IT|BC-B|M|2571
Vasavi College of Engineering, Hyderabad|IT|BC-B|F|11587
Vasavi College of Engineering, Hyderabad|IT|BC-C|M|9573
Vasavi College of Engineering, Hyderabad|IT|BC-C|F|11814
Vasavi College of Engineering, Hyderabad|IT|BC-D|M|4626
Vasavi College of Engineering, Hyderabad|IT|BC-D|F|3940
Vasavi College of Engineering, Hyderabad|IT|SC|M|6691
Vasavi College of Engineering, Hyderabad|IT|SC|F|3886
Vasavi College of Engineering, Hyderabad|IT|ST|M|9822
Vasavi College of Engineering, Hyderabad|IT|ST|F|5702
Vasavi College of Engineering, Hyderabad|IT|EWS|M|11816
Vasavi College of Engineering, Hyderabad|IT|EWS|F|8766
Vasavi College of Engineering, Hyderabad|MECH|OC|M|14438
Vasavi College of Engineering, Hyderabad|MECH|OC|F|8518
Vasavi College of Engineering, Hyderabad|MECH|BC-A|M|12738
Vasavi College of Engineering, Hyderabad|MECH|BC-A|F|16064
Vasavi College of Engineering, Hyderabad|MECH|BC-B|M|16523
Vasavi College of Engineering, Hyderabad|MECH|BC-B|F|13933
Vasavi College of Engineering, Hyderabad|MECH|BC-C|M|11510
Vasavi College of Engineering, Hyderabad|MECH|BC-C|F|15390
Vasavi College of Engineering, Hyderabad|MECH|BC-D|M|13011
Vasavi College of Engineering, Hyderabad|MECH|BC-D|F|7484
Vasavi College of Engineering, Hyderabad|MECH|SC|M|11236
Vasavi College of Engineering, Hyderabad|MECH|SC|F|13275
Vasavi College of Engineering, Hyderabad|MECH|ST|M|15286
Vasavi College of Engineering, Hyderabad|MECH|ST|F|9152
Vasavi College of Engineering, Hyderabad|MECH|EWS|M|12390
Vasavi College of Engineering, Hyderabad|MECH|EWS|F|11268
Vasavi College of Engineering, Hyderabad|CIVIL|OC|M|17087
Vasavi College of Engineering, Hyderabad|CIVIL|OC|F|8809
Vasavi College of Engineering, Hyderabad|CIVIL|BC-A|M|10129
Vasavi College of Engineering, Hyderabad|CIVIL|BC-A|F|17609
Vasavi College of Engineering, Hyderabad|CIVIL|BC-B|M|8936
Vasavi College of Engineering, Hyderabad|CIVIL|BC-B|F|13639
Vasavi College of Engineering, Hyderabad|CIVIL|BC-C|M|15543
